review_id,product_name,rating,date,review_text
1,Беспроводные наушники XSound Air,5,2026-05-01,"Наушники понравились: звук чистый, заряд держат долго, пришли в аккуратной упаковке. Доставили на день раньше."
2,Беспроводные наушники XSound Air,2,2026-05-02,"Звук нормальный, но коробка была сильно мятая, внутри все болталось. Доставка задержалась почти на неделю."
3,Беспроводные наушники XSound Air,3,2026-05-02,"На фото кейс выглядит матовым, а приехал глянцевый. Работают нормально, но описание не совсем точное."
4,Рюкзак UrbanPack 25L,5,2026-05-03,"Рюкзак качественный, ткань плотная, молнии ходят легко. Размер полностью соответствует описанию."
5,Рюкзак UrbanPack 25L,1,2026-05-04,"Через два дня разошелся шов на лямке. Упаковка была целая, доставка быстрая, но качество товара очень плохое."
6,Рюкзак UrbanPack 25L,4,2026-05-05,"Рюкзак обычный, без сильных плюсов и минусов. Доставка была курьером, пришло в заявленный срок."
7,Смарт-часы FitTime S2,2,2026-05-05,"Часы пришли быстро, но в описании было указано измерение давления, а такой функции нет. За это снимаю звезды."
8,Смарт-часы FitTime S2,5,2026-05-06,"Все как в карточке товара: цвет, размер, функции совпадают. Упаковано надежно, коробка без повреждений."
9,Смарт-часы FitTime S2,3,2026-05-07,"Экран яркий, ремешок удобный, но приложение иногда теряет соединение. Упаковка стандартная."
10,Кофемолка HomeBarista Mini,4,2026-05-08,"Кофемолка перемалывает ровно, пользоваться удобно. Коробка пришла немного потертая, но сам товар целый."
11,Кофемолка HomeBarista Mini,1,2026-05-08,"Товар не включается вообще. Описание красивое, но по факту пришла неисправная кофемолка."
12,Кофемолка HomeBarista Mini,5,2026-05-09,"Доставили быстро, упаковали в два слоя, ничего не повредилось. Качество сборки хорошее."
13,Футболка Basic Cotton,2,2026-05-10,"Размер не соответствует таблице: заказал L, по факту как M. Ткань приятная, но носить не смогу."
14,Футболка Basic Cotton,5,2026-05-10,"Цвет как на фото, размер подошел, ткань мягкая. Доставка без задержек."
15,Футболка Basic Cotton,3,2026-05-11,"Футболка тонкая, но для лета нормально. Упаковка простая, без повреждений."
16,Настольная лампа LumaDesk,1,2026-05-11,"Лампа пришла с трещиной на корпусе, коробка была разорвана. Доставка долгая, впечатление испорчено."
17,Настольная лампа LumaDesk,5,2026-05-12,"Свет мягкий, яркость регулируется, выглядит аккуратно. Полностью соответствует описанию."
18,Настольная лампа LumaDesk,4,2026-05-12,"Лампа хорошая, но инструкция была помята. На работу товара это не влияет."
19,Электрическая зубная щетка CleanPro,2,2026-05-13,"В карточке написано, что в комплекте две насадки, а пришла одна. Сама щетка работает хорошо."
20,Электрическая зубная щетка CleanPro,5,2026-05-13,"Щетка отличная, заряд держит долго, упаковка аккуратная. Доставили вовремя."
21,Электрическая зубная щетка CleanPro,3,2026-05-14,"Работает как заявлено. Особых эмоций нет, обычная щетка за свою цену."
22,Органайзер для кухни,4,2026-05-14,"Органайзер удобный, пластик крепкий. Доставка задержалась на два дня, но товаром довольна."
23,Органайзер для кухни,2,2026-05-15,"Размеры в описании указаны неверно, на полку не поместился. Упакован был нормально."
24,Органайзер для кухни,5,2026-05-15,"Все отлично: пришло быстро, без сколов, размеры совпадают. Упаковка надежная."
25,Повербанк ChargeMax 20000,1,2026-05-16,"Повербанк заряжает телефон один раз, хотя в описании обещано несколько циклов. Очень разочарован."
26,Повербанк ChargeMax 20000,4,2026-05-16,"Емкость похожа на заявленную, корпус крепкий. Упаковка была без пупырки, но повреждений нет."
27,Повербанк ChargeMax 20000,5,2026-05-17,"Доставили быстро, товар качественный, кабель в комплекте. Описание соответствует."
28,Набор полотенец SoftHome,2,2026-05-17,"Цвет на фото был светло-серый, пришел почти темный. Полотенца мягкие, но ожидала другой оттенок."
29,Набор полотенец SoftHome,5,2026-05-18,"Полотенца плотные, после стирки форму не потеряли. Упаковано аккуратно."
30,Набор полотенец SoftHome,3,2026-05-18,"Доставка была обычная, упаковка обычная, качество тоже без сюрпризов."
31,Подставка для ноутбука MetalStand,4,2026-05-19,"Подставка крепкая, ноутбук держит хорошо. Коробка была вскрыта, но внутри все целое."
32,Подставка для ноутбука MetalStand,5,2026-05-19,"Металл плотный, не шатается, размеры совпадают с описанием. Доставка быстрая."
33,Подставка для ноутбука MetalStand,1,2026-05-20,Пришла подставка другого цвета и с царапинами. Упаковка была повреждена.
34,Кабель USB-C FastLine,5,2026-05-20,"Кабель работает, быстрая зарядка поддерживается. Цена нормальная, доставка без проблем."
35,Кабель USB-C FastLine,2,2026-05-21,"Через неделю перестал заряжать. Внешне кабель как на фото, но качество плохое."
36,Кабель USB-C FastLine,4,2026-05-21,"Пришел в простом пакете, без коробки. Сам кабель работает нормально."
