review_id,product_name,rating,review_text,date
1,Беспроводные наушники,5,"Отличный звук, качество сборки на высоте, полностью соответствует описанию",2025-03-01
2,Беспроводные наушники,2,"Коробка пришла мятая, внутри всё болталось без защиты",2025-03-02
3,Чехол для телефона,4,"Качество хорошее, но доставка заняла две недели",2025-03-03
4,USB-кабель,1,"Не работает с первого дня, товар не соответствует описанию на сайте",2025-03-04
5,Кружка-термос,5,"Доставили быстро, всё целое, упаковка аккуратная",2025-03-05
6,Рюкзак,3,"Цвет немного отличается от фото, в целом нормально",2025-03-06
7,Клавиатура,5,"Материал приятный, кнопки работают отлично, доставка за два дня",2025-03-07
8,Настольная лампа,2,"Упаковано без защиты, плафон треснул при доставке",2025-03-08
9,Футболка,4,"Размер совпал, ткань мягкая, пришло вовремя",2025-03-09
10,Зарядное устройство,1,"Очень долго доставляли и зарядка не работает",2025-03-10
11,Плед,5,"Всё супер, рекомендую, мягкий и тёплый",2025-03-11
12,Робот-пылесос,4,"Хорошо убирает, описание точное, упаковка надёжная",2025-03-12
13,Фитнес-браслет,3,"Экран тусклый, не как на фото, но функции работают",2025-03-13
14,Портативная колонка,5,"Звук громкий и чистый, качество отличное",2025-03-14
15,Портативная колонка,1,"Сломалась через неделю, брак, не рекомендую",2025-03-15
16,Смарт-часы,4,"Доставка быстрая, коробка целая, часы работают хорошо",2025-03-16
17,Смарт-часы,2,"Описание не соответствует: заявлена водозащита, а часы боятся воды",2025-03-17
18,Электрическая зубная щётка,5,"Качественная сборка, щётка как в описании, упаковка подарочная",2025-03-18
19,Электрическая зубная щётка,3,"Нормальная щётка, ничего особенного, доставили в срок",2025-03-19
20,Настольный вентилятор,1,"Пластик хлипкий, вентилятор шумит, упаковка мятая",2025-03-20
21,Настольный вентилятор,4,"Работает тихо, соответствует описанию, привезли быстро",2025-03-21
22,Книга,5,"Отличное издание, страницы плотные, доставили на следующий день",2025-03-22
23,Книга,2,"Обложка помята, страницы загнуты, видимо повредили при доставке",2025-03-23
24,Наушники проводные,4,"Звук чистый, провод прочный, всё как в описании",2025-03-24
25,Наушники проводные,1,"Один наушник не работает, качество ужасное",2025-03-25
26,Коврик для мыши,5,"Материал плотный, размер точно как указано, пришёл в плёнке",2025-03-26
27,Коврик для мыши,3,"Обычный коврик, ничего выдающегося",2025-03-27
28,Термос,5,"Держит тепло 12 часов, качество на высоте, упаковка надёжная",2025-03-28
29,Термос,2,"Крышка протекает, не соответствует описанию герметичности",2025-03-29
30,Набор отвёрток,4,"Хороший набор, биты крепкие, доставка за три дня",2025-03-30
31,Набор отвёрток,1,"Половина бит из мягкого металла, сразу слизались, брак",2025-03-31
32,Подставка для ноутбука,5,"Удобная, прочная, регулируется, пришла в отличной упаковке",2025-04-01
33,Подставка для ноутбука,3,"Немного шатается, но в целом нормально для такой цены",2025-04-02
34,Увлажнитель воздуха,4,"Работает тихо, дизайн приятный, доставили вовремя",2025-04-03
35,Увлажнитель воздуха,2,"Через месяц начал подтекать, качество сборки низкое",2025-04-04
36,Кабель USB-C,5,"Заряжает быстро, оплётка прочная, описание точное",2025-04-05
37,Кабель USB-C,1,"Не поддерживает быструю зарядку, хотя в описании указано",2025-04-06
38,Мышь беспроводная,4,"Лёгкая, удобно лежит в руке, батарейки хватает надолго",2025-04-07
39,Мышь беспроводная,2,"Кнопки начали залипать через две недели, упаковка была вскрыта",2025-04-08
40,Рюкзак,5,"Вместительный, молнии крепкие, цвет как на фото, курьер доставил быстро",2025-04-09
41,Фитнес-браслет,1,"Не синхронизируется с телефоном, описание вводит в заблуждение",2025-04-10
42,Чехол для телефона,5,"Сидит идеально, материал приятный, доставка быстрая",2025-04-11
43,Плед,2,"Ткань тонкая, совсем не как на фото, разочарован",2025-04-12
44,Робот-пылесос,1,"Постоянно застревает, щётки слабые, упаковка была повреждена",2025-04-13
45,Портативная колонка,4,"Неплохой звук, заряда хватает на 6 часов, коробка целая",2025-04-14
46,Настольная лампа,5,"Яркая, три режима, качество пластика хорошее, доставили за день",2025-04-15
47,Зарядное устройство,4,"Заряжает два устройства одновременно, всё как в описании",2025-04-16
48,Футболка,2,"Размер не совпал, ткань грубая, не соответствует описанию",2025-04-17
49,Кружка-термос,3,,2025-04-18
50,Смарт-часы,4,,2025-04-19
