review_id,product_name,rating,review_text,date
1,Наушники,5,"Отличный звук, товар полностью соответствует описанию",2025-03-01
2,Наушники,2,"Коробка пришла мятая, упаковка плохая",2025-03-02
3,Чехол,4,"Качество хорошее, но доставка была долгой",2025-03-03
4,Кабель,1,"Не работает, товар не соответствует описанию",2025-03-04
5,Кружка,5,"Доставили быстро, всё целое",2025-03-05
6,Рюкзак,3,"Цвет немного отличается от фото, в целом нормально",2025-03-06
7,Клавиатура,5,"Материал приятный, кнопки работают отлично",2025-03-07
8,Лампа,2,"Упаковано без защиты, плафон треснул",2025-03-08
9,Футболка,4,"Размер совпал, ткань мягкая, пришло вовремя",2025-03-09
10,Зарядка,1,"Очень долго доставляли и кабель не работает",2025-03-10
11,Плед,5,"Всё супер, рекомендую",2025-03-11
12,Органайзер,3,"",2025-03-12

